,With own children of the householder under 18 years,Cohabiting couple household,"Male householder, no spouse/partner present",Householder living alone,65 years and over,"Female householder, no spouse/partner present",Households with one or more people under 18 years,Households with one or more people 65 years and over,Average household size,Average family size,Population in households,Householder,Spouse,Unmarried partner,Child,Other relatives,Other nonrelatives,Males 15 years and over,Never married,"Now married, except separated",Separated,Widowed,Divorced,Females 15 years and over,Number of women 15 to 50 years old who had a birth in the past 12 months,"Unmarried women (widowed, divorced, and never married)",Less than 1 year,1 or 2 years,3 or 4 years,5 or more years,Number of grandparents responsible for own grandchildren under 18 years,Who are female,Who are married,Population 3 years and over enrolled in school,"Nursery school, preschool",Kindergarten,Elementary school (grades 1-8),High school (grades 9-12),College or graduate school,Population 25 years and over,Less than 9th grade,"9th to 12th grade, no diploma",High school graduate (includes equivalency),"Some college, no degree",Associate's degree,Bachelor's degree,Graduate or professional degree,High school graduate or higher,Bachelor's degree or higher,Civilian population 18 years and over,Civilian veterans,Total Civilian Noninstitutionalized Population,With a disability,Under 18 years,18 to 64 years,Population 1 year and over,Same house,Different house in the U.S.,Same county,Different county,Same state,Different state,Abroad,Total population,Native,Born in United States,State of residence,"Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",Foreign born,Foreign-born population,Naturalized U.S. citizen,Not a U.S. citizen,Population born outside the United States,Entered 2010 or later,Entered before 2010,Population 5 years and over,English only,Language other than English,FIPS,GeoName
0,5.1,4.7,13.9,16.6,"43,483",27.6,30.2,35.4,2.57,3.18,"214,759",38.9,21.0,1.7,27.9,7.4,3.1,"85,527",21.1,52.9,2.6,10.5,12.8,"94,079","1,339",20.0,13.6,1.9,4.7,27.1,"3,869",58.3,82.7,"45,480",6.7,3.2,51.1,24.6,14.3,"155,691",2.3,7.5,28.3,22.1,8.5,20.7,10.7,90.2,31.4,"170,469",11.9,"214,983",31.4,"47,143","124,357","216,612",86.2,13.1,7.8,5.3,2.2,44.1,0.7,"218,022","1,271",96.2,52.0,0.6,"7,066","7,066",51.5,48.5,"8,337",21.8,78.2,"207,144",95.2,4.8,01003,"Baldwin County, Alabama"
1,3.9,3.5,17.0,16.2,"41,946",26.2,24.9,36.7,2.65,3.32,"209,773",37.7,20.3,1.2,29.7,7.9,3.2,"84,805",19.6,54.1,1.0,10.2,15.0,"89,966","2,351",15.4,0,0,0,0,0,0,0,"45,966",4.3,6.4,46.8,25.5,17.0,"152,037",2.8,8.0,25.2,22.6,7.9,23.0,10.6,89.3,33.6,"166,387",10.3,"210,224",35.7,"45,907","122,371","210,895",88.4,11.2,6.2,5.0,2.0,40.8,0.3,"212,628","2,776",93.6,52.8,1.3,"10,881","10,881",43.3,56.7,"13,657",18.9,81.1,"201,290",94.4,5.6,01003,"Baldwin County, Alabama"
2,3.8,3.3,16.6,17.8,"40,016",28.2,25.8,34.1,2.68,3.42,"205,646",37.3,19.3,1.3,30.6,8.8,2.6,"81,920",25.4,45.6,1.2,12.1,15.7,"88,999","2,279",45.7,14.2,6.3,15.7,33.2,"2,989",62.1,62.7,"46,501",5.5,4.9,47.0,22.7,20.0,"146,987",2.9,7.1,28.5,21.2,10.6,17.4,12.3,89.9,29.6,"162,534",11.2,"206,237",31.8,"45,880","120,341","206,467",88.7,10.9,5.0,5.8,1.8,42.0,0.4,"208,563","1,628",97.0,55.1,0.8,"4,544","4,544",50.6,49.4,"6,172",33.7,66.3,"197,625",96.8,3.2,01003,"Baldwin County, Alabama"
3,3.1,4.4,16.5,18.7,"39,292",28.5,25.5,36.3,2.78,3.58,"200,550",36.0,18.2,1.6,32.3,8.4,3.5,"80,555",22.6,46.0,4.4,11.1,15.9,"86,182","2,542",50.5,1.5,11.2,11.3,12.9,"1,419",65.8,64.1,"44,872",7.2,4.2,48.6,23.1,16.9,"143,738",2.2,7.0,31.7,20.9,8.7,21.0,8.5,90.8,29.5,"158,783",13.8,"201,190",38.5,"44,778","117,120","201,489",89.3,10.6,6.2,4.4,2.2,42.6,0.0,"203,709","1,969",96.5,53.9,1.0,"5,158","5,158",36.9,63.1,"7,127",15.4,84.6,"193,705",93.9,6.1,01003,"Baldwin County, Alabama"
4,6.8,6.4,16.3,17.4,"20,145",31.2,29.6,31.9,2.48,3.06,"110,627",40.3,18.3,2.9,29.3,6.3,2.9,"44,302",25.2,45.7,2.9,10.1,16.0,"49,296","1,508",52.5,0,0,0,0,0,0,0,"26,109",5.0,4.6,43.3,16.4,30.7,"79,084",4.2,11.2,34.5,21.8,9.0,11.5,7.8,84.6,19.3,"87,525",9.8,"111,075",45.9,"24,334","66,596","112,208",84.7,15.3,8.5,6.8,2.7,26.6,0.0,"113,605",881,97.5,71.0,0.8,"1,906","1,906",33.9,66.1,"2,787",7.6,92.4,0,0,0,01015,"Calhoun County, Alabama"
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01015,"Calhoun County, Alabama"
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01015,"Calhoun County, Alabama"
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01015,"Calhoun County, Alabama"
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01015,"Calhoun County, Alabama"
9,5.6,2.8,15.5,14.8,"15,405",26.4,35.5,35.0,2.71,3.20,"82,192",36.9,20.5,0.9,26.4,10.9,4.4,"33,209",18.4,52.0,4.4,12.0,13.1,"34,880",0,0,0,0,0,0,0,0,0,"17,743",4.1,3.1,50.0,25.8,17.0,"58,319",4.7,12.9,31.1,26.8,12.5,8.4,3.7,82.5,12.1,"64,550",9.0,"82,550",46.8,"18,877","48,268","83,069",87.7,12.3,5.3,7.0,5.5,21.4,0.0,0,0,97.6,76.2,0.5,0,"1,584",13.9,86.1,"1,967",0,0,0,0,0,01043,"Cullman County, Alabama"
