fips,total_cases,fips,total_death
1001,752400,1001,10567
1003,2339385,1003,27804
1005,304738,1005,4940
1007,302667,1007,6276
1009,734621,1009,10821
1011,192741,1011,5214
1013,325096,1013,12170
1015,1558771,1015,26837
1017,477562,1017,15565
1019,234585,1019,5086
1021,533224,1021,10208
1023,109800,1023,4478
1025,435180,1025,5674
1027,199330,1027,5595
1029,167415,1029,3374
1031,630486,1031,7206
1033,765082,1033,12024
1035,169883,1035,3718
1037,91063,1037,1894
1039,527286,1039,10750
1041,189131,1041,7582
1043,1067219,1043,14342
1045,581388,1045,13624
1047,567408,1047,12368
1049,1137506,1049,13791
1051,1141115,1051,19177
1053,524608,1053,8228
1055,1613188,1055,25406
1057,226036,1057,4586
1059,636356,1059,9612
1061,284823,1061,4596
1063,124387,1063,4824
1065,272222,1065,9341
1067,221969,1067,3114
1069,1249828,1069,18433
1071,796227,1071,7594
1073,8717857,1073,149779
1075,166720,1075,2616
1077,995971,1077,16886
1079,323868,1079,8304
1081,1985073,1081,21397
1083,1086439,1083,11774
1085,222680,1085,8521
1087,188983,1087,6282
1089,3691107,1089,37548
1091,318868,1091,6793
1093,369940,1093,11036
1095,1602567,1095,19439
1097,5004065,1097,103620
1099,223594,1099,3380
1101,3236030,1101,64462
1103,1676712,1103,18738
1105,172594,1105,2469
1107,293346,1107,5795
1109,411227,1109,5489
1111,239563,1111,5928
1113,582680,1113,1884
1115,1064129,1115,17930
1117,2640233,1117,22851
1119,163069,1119,5961
1121,900261,1121,14951
1123,482651,1123,27616
1125,3180214,1125,45621
1127,918260,1127,29732
1129,218043,1129,4902
1131,186462,1131,4216
1133,325234,1133,6105
2013,16388,2013,26
2016,43570,2016,0
2020,3169327,2020,17629
2050,323471,2050,1411
2068,8330,2068,0
2070,21215,2070,106
2090,729674,2090,3871
2100,3760,2100,0
2110,163765,2110,504
2122,487913,2122,1894
2130,40269,2130,101
2150,102800,2150,313
2158,106452,2158,279
2170,825933,2170,2619
2180,40986,2180,0
2185,106828,2185,273
2188,68995,2188,52
2195,6650,2195,0
2198,10581,2198,132
2220,37542,2220,0
2230,1846,2230,0
2240,50591,2240,323
2261,58701,2261,266
2275,4891,2275,0
2290,37539,2290,586
2997,30333,2997,0
2998,9207,2998,91
4001,1478726,4001,54237
4003,1171832,4003,27750
4005,2011952,4005,50273
4007,726729,4007,24090
4009,545634,4009,9011
4011,57189,4011,852
4012,274219,4012,7019
4013,61378983,4013,1124230
4015,2159828,4015,78176
4017,2297774,4017,76401
4019,12138986,4019,245170
4021,5101886,4021,81856
4023,1118830,4023,21592
4025,1758718,4025,42624
4027,5065525,4027,109594
5001,219520,5001,4369
5003,209579,5003,3695
5005,293870,5005,8321
5007,3187026,5007,42188
5009,390915,5009,9084
5011,150584,5011,3046
5013,35129,5013,184
5015,333279,5015,5102
5017,276244,5017,5715
5019,213490,5019,3282
5021,191222,5021,4959
5023,205306,5023,6625
5025,96048,5025,3163
5027,246460,5027,6841
5029,204694,5029,2744
5031,1549442,5031,18749
5033,739168,5033,9899
5035,790894,5035,14039
5037,219347,5037,5615
5039,77476,5039,1505
5041,150818,5041,2224
5043,211636,5043,3251
5045,1272332,5045,14459
5047,176282,5047,3167
5049,118865,5049,4121
5051,999131,5051,24460
5053,160847,5053,2375
5055,642517,5055,7317
5057,205276,5057,1924
5059,687979,5059,9279
5061,195002,5061,3224
5063,457278,5063,13676
5065,188316,5065,2721
5067,355273,5067,2922
5069,1188094,5069,25685
5071,344134,5071,3113
5073,57866,5073,989
5075,249904,5075,6301
5077,315683,5077,4842
5079,626393,5079,5894
5081,142186,5081,6816
5083,234189,5083,1647
5085,685400,5085,11255
5087,172230,5087,2023
5089,91919,5089,2386
5091,456198,5091,4438
5093,719919,5093,15995
5095,81444,5095,1220
5097,75874,5097,2849
5099,101249,5099,3823
5101,89921,5101,4549
5103,204361,5103,4403
5105,73361,5105,700
5107,219985,5107,4474
5109,105699,5109,1642
5111,364596,5111,8628
5113,192433,5113,5068
5115,938254,5115,10967
5117,89786,5117,2051
5119,4300944,5119,69137
5121,228540,5121,6680
5123,552470,5123,3735
5125,1212391,5125,15481
5127,91929,5127,1224
5129,73801,5129,1223
5131,1689031,5131,27701
5133,420430,5133,4589
5135,165471,5135,5044
5137,119849,5137,4227
5139,419834,5139,13660
5141,116164,5141,1688
5143,3836418,5143,41590
5145,712206,5145,11227
5147,55992,5147,513
5149,465417,5149,8919
6001,9235099,6001,142557
6003,7814,6003,0
6005,301285,6005,4641
6007,1194037,6007,16511
6009,181777,6009,4074
6011,230415,6011,1684
6013,7112667,6013,77202
6015,102986,6015,380
6017,846292,6017,5497
6019,11306488,6019,144059
6021,253304,6021,2243
6023,300225,6023,3494
6025,4239547,6025,92897
6027,109381,6027,4282
6029,12347829,6029,108158
6031,2903407,6031,26230
6033,299382,6033,4254
6035,589210,6035,1352
6037,133743543,6037,2484505
6039,1797760,6039,23462
6041,2069359,6041,31659
6043,42134,6043,807
6045,419128,6045,5580
6047,3418623,6047,47724
6049,29497,6049,232
6051,130335,6051,736
6053,4605605,6053,34594
6055,935320,6055,6483
6057,385269,6057,6623
6059,27888162,6059,435725
6061,2071528,6061,23204
6063,56161,6063,380
6065,30825011,6065,444431
6067,10469873,6067,162490
6069,616106,6069,5734
6071,30459226,6071,314400
6073,26593221,6073,345866
6075,4399392,6075,45494
6077,7966668,6077,134384
6079,1937928,6079,17225
6081,4450866,6081,60112
6083,3680333,6083,40873
6085,11430250,6085,169332
6087,1427305,6087,13997
6089,1099548,6089,14939
