fips,total_cases,fips,total_death
1001,1015888,1001,14554
1003,3157030,1003,39754
1005,393681,1005,7108
1007,404018,1007,8606
1009,991481,1009,16082
1011,240842,1011,6793
1013,408761,1013,14817
1015,2126904,1015,39070
1017,616792,1017,20257
1019,306805,1019,6800
1021,694532,1021,14530
1023,133065,1023,5429
1025,573715,1025,8002
1027,258677,1027,7761
1029,225305,1029,5014
1031,845218,1031,11564
1033,1011103,1033,17092
1035,213303,1035,4768
1037,129243,1037,2902
1039,688808,1039,15197
1041,248867,1041,9843
1043,1440853,1043,21793
1045,771234,1045,17989
1047,707596,1047,18260
1049,1485001,1049,20978
1051,1536595,1051,27144
1053,678828,1053,11179
1055,2157853,1055,39062
1057,308592,1057,6942
1059,803162,1059,12891
1061,382500,1061,7519
1063,160444,1063,6161
1065,358686,1065,12269
1067,296536,1067,4820
1069,1662159,1069,29329
1071,1064471,1071,11873
1073,11695181,1073,208100
1075,221933,1075,3947
1077,1358806,1077,25743
1079,440774,1079,12046
1081,2600183,1081,27995
1083,1474942,1083,17560
1085,276998,1085,10624
1087,250121,1087,8158
1089,5030268,1089,57080
1091,418275,1091,9157
1093,491592,1093,15009
1095,2075772,1095,28152
1097,6506906,1097,134934
1099,291659,1099,4957
1101,4180697,1101,86535
1103,2239880,1103,29285
1105,215685,1105,3537
1107,386038,1107,8095
1109,532083,1109,8467
1111,309132,1111,7568
1113,751369,1113,3332
1115,1437191,1115,27221
1117,3557219,1117,32161
1119,204054,1119,7227
1121,1218021,1121,21683
1123,636172,1123,33409
1125,4180053,1125,63079
1127,1198655,1127,40613
1129,283273,1129,6421
1131,236262,1131,5264
1133,433204,1133,8936
2013,30900,2013,106
2016,69681,2016,0
2020,4295571,2020,24081
2050,473649,2050,2203
2068,11724,2068,0
2070,29628,2070,150
2090,992693,2090,5139
2100,4787,2100,0
2110,214637,2110,624
2122,652443,2122,2654
2130,55322,2130,141
2150,145645,2150,513
2158,155399,2158,403
2170,1221637,2170,4016
2180,54465,2180,0
2185,148151,2185,433
2188,92851,2188,132
2195,12568,2195,0
2198,13691,2198,172
2220,50420,2220,0
2230,2606,2230,0
2240,74167,2240,447
2261,80892,2261,346
2275,6202,2275,0
2290,51433,2290,746
2997,37671,2997,0
2998,11962,2998,135
4001,1917306,4001,70734
4003,1635551,4003,38885
4005,2695791,4005,63222
4007,990510,4007,32912
4009,761422,4009,12077
4011,79775,4011,1252
4012,371757,4012,10049
4013,82354353,4013,1508780
4015,3041620,4015,105443
4017,2927113,4017,97149
4019,16640177,4019,338835
4021,7071162,4021,115604
4023,1430596,4023,28508
4025,2491246,4025,62087
4027,6535816,4027,142308
5001,301759,5001,5788
5003,285346,5003,5010
5005,416024,5005,12321
5007,4311067,5007,58300
5009,540165,5009,12224
5011,204499,5011,4311
5013,51445,5013,304
5015,443236,5015,6861
5017,340533,5017,7272
5019,296645,5019,4879
5021,260005,5021,6927
5023,282813,5023,9473
5025,133632,5025,4163
5027,339015,5027,9034
5029,292101,5029,4012
5031,2072422,5031,25692
5033,1017648,5033,14476
5035,1025613,5035,17831
5037,296156,5037,7571
5039,107637,5039,2093
5041,205022,5041,3176
5043,290809,5043,4836
5045,1759107,5045,20701
5047,243152,5047,4717
5049,162841,5049,5997
5051,1399545,5051,34513
5053,226024,5053,3655
5055,882691,5055,10286
5057,284094,5057,2678
5059,887419,5059,12061
5061,260315,5061,4170
5063,605834,5063,18492
5065,254582,5065,4361
5067,483404,5067,4426
5069,1537451,5069,32183
5071,458923,5071,4546
5073,79551,5073,1349
5075,332636,5075,7997
5077,381898,5077,6202
5079,753540,5079,7795
5081,190813,5081,8434
5083,322338,5083,2506
5085,967159,5085,15838
5087,229523,5087,2901
5089,132771,5089,3573
5091,623666,5091,5850
5093,949657,5093,20240
5095,115729,5095,1874
5097,105813,5097,4126
5099,133815,5099,4770
5101,118109,5101,5589
5103,295600,5103,6784
5105,106224,5105,1093
5107,289598,5107,5956
5109,145539,5109,2522
5111,489135,5111,11667
5113,270555,5113,7846
5115,1252531,5115,15142
5117,125249,5117,2866
5119,5831410,5119,93833
5121,310821,5121,8560
5123,692940,5123,5343
5125,1680242,5125,22030
5127,128992,5127,1784
5129,100607,5129,1861
5131,2288758,5131,38520
5133,531405,5133,5559
5135,227441,5135,6844
5137,159088,5137,5405
5139,576438,5139,18010
5141,166085,5141,2535
5143,5042776,5143,55302
5145,1023741,5145,15876
5147,81372,5147,990
5149,601625,5149,11465
6001,12571359,6001,198591
6003,11160,6003,0
6005,443353,6005,6429
6007,1646266,6007,24062
6009,261316,6009,6062
6011,317120,6011,2303
6013,9724134,6013,107496
6015,149498,6015,624
6017,1222120,6017,9700
6019,15262357,6019,207589
6021,390609,6021,3174
6023,438802,6023,4910
6025,5338132,6025,121043
6027,164116,6027,5705
6029,16594204,6029,156856
6031,3806503,6031,35830
6033,431977,6033,5971
6035,815128,6035,1461
6037,182516912,6037,3406813
6039,2437062,6039,32717
6041,2612483,6041,40459
6043,58467,6043,1087
6045,576481,6045,7423
6047,4639597,6047,65162
6049,43324,6049,355
6051,179851,6051,896
6053,6321779,6053,48254
6055,1311327,6055,9588
6057,555925,6057,9700
6059,38530688,6059,623148
6061,2908669,6061,33708
6063,82410,6063,546
6065,42599965,6065,615233
6067,14381061,6067,226464
6069,851229,6069,8193
6071,42101470,6071,483040
6073,37387954,6073,487647
6075,5811441,6075,64581
6077,10751951,6077,185348
6079,2755976,6079,27399
6081,6063646,6081,81985
6083,5006788,6083,58424
6085,16011671,6085,246817
6087,2038394,6087,22017
6089,1553656,6089,23045
6091,6354,6091,0
6093,239656,6093,1786
6095,4471798,6095,30025
6097,4429405,6097,50033
6099,8983165,6099,155703
